"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2024 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2024 inflation-adjusted dollars)",
"860Z200US06390","ZCTA5 06390","98125","59611",
"860Z200US10001","ZCTA5 10001","129852","25244",
"860Z200US10002","ZCTA5 10002","48386","4836",
"860Z200US10003","ZCTA5 10003","154262","10754",
"860Z200US10004","ZCTA5 10004","250,000+","***",
"860Z200US10005","ZCTA5 10005","190233","34473",
"860Z200US10006","ZCTA5 10006","190170","54768",
"860Z200US10007","ZCTA5 10007","250,000+","***",
"860Z200US10009","ZCTA5 10009","92876","11571",
"860Z200US10010","ZCTA5 10010","144969","26449",
"860Z200US10011","ZCTA5 10011","145987","8167",
"860Z200US10012","ZCTA5 10012","137106","17854",
"860Z200US10013","ZCTA5 10013","161154","43418",
"860Z200US10014","ZCTA5 10014","176395","12595",
"860Z200US10016","ZCTA5 10016","140381","10348",
"860Z200US10017","ZCTA5 10017","136705","25264",
"860Z200US10018","ZCTA5 10018","145958","34189",
"860Z200US10019","ZCTA5 10019","128559","20899",
"860Z200US10020","ZCTA5 10020","-","**",
"860Z200US10021","ZCTA5 10021","158677","22110",
"860Z200US10022","ZCTA5 10022","172026","15809",
"860Z200US10023","ZCTA5 10023","159874","14788",
"860Z200US10024","ZCTA5 10024","181560","14326",
"860Z200US10025","ZCTA5 10025","108940","8662",
"860Z200US10026","ZCTA5 10026","81244","9379",
"860Z200US10027","ZCTA5 10027","59587","6118",
"860Z200US10028","ZCTA5 10028","175121","27619",
"860Z200US10029","ZCTA5 10029","38695","5694",
"860Z200US10030","ZCTA5 10030","39802","7797",
"860Z200US10031","ZCTA5 10031","65283","6167",
"860Z200US10032","ZCTA5 10032","56829","5888",
"860Z200US10033","ZCTA5 10033","75040","5112",
"860Z200US10034","ZCTA5 10034","67754","8899",
"860Z200US10035","ZCTA5 10035","45121","4950",
"860Z200US10036","ZCTA5 10036","95638","13771",
"860Z200US10037","ZCTA5 10037","49153","7783",
"860Z200US10038","ZCTA5 10038","105419","18564",
"860Z200US10039","ZCTA5 10039","45371","4629",
"860Z200US10040","ZCTA5 10040","65516","7579",
"860Z200US10044","ZCTA5 10044","103347","16617",
"860Z200US10065","ZCTA5 10065","155331","19458",
"860Z200US10069","ZCTA5 10069","233636","52737",
"860Z200US10075","ZCTA5 10075","155902","23510",
"860Z200US10103","ZCTA5 10103","-","**",
"860Z200US10110","ZCTA5 10110","-","**",
"860Z200US10111","ZCTA5 10111","-","**",
"860Z200US10112","ZCTA5 10112","-","**",
"860Z200US10115","ZCTA5 10115","-","**",
"860Z200US10119","ZCTA5 10119","-","**",
"860Z200US10128","ZCTA5 10128","147772","11385",
"860Z200US10152","ZCTA5 10152","-","**",
"860Z200US10153","ZCTA5 10153","-","**",
"860Z200US10154","ZCTA5 10154","-","**",
"860Z200US10162","ZCTA5 10162","114139","101432",
"860Z200US10165","ZCTA5 10165","-","**",
"860Z200US10167","ZCTA5 10167","-","**",
"860Z200US10168","ZCTA5 10168","-","**",
"860Z200US10169","ZCTA5 10169","-","**",
"860Z200US10170","ZCTA5 10170","-","**",
"860Z200US10171","ZCTA5 10171","-","**",
"860Z200US10172","ZCTA5 10172","-","**",
"860Z200US10173","ZCTA5 10173","-","**",
"860Z200US10174","ZCTA5 10174","-","**",
"860Z200US10177","ZCTA5 10177","-","**",
"860Z200US10199","ZCTA5 10199","-","**",
"860Z200US10271","ZCTA5 10271","-","**",
"860Z200US10278","ZCTA5 10278","-","**",
"860Z200US10279","ZCTA5 10279","250,000+","***",
"860Z200US10280","ZCTA5 10280","206299","72721",
"860Z200US10282","ZCTA5 10282","250,000+","***",
"860Z200US10301","ZCTA5 10301","85609","8827",
"860Z200US10302","ZCTA5 10302","78263","9565",
"860Z200US10303","ZCTA5 10303","83947","8679",
"860Z200US10304","ZCTA5 10304","71561","7057",
"860Z200US10305","ZCTA5 10305","83413","5796",
"860Z200US10306","ZCTA5 10306","96866","7661",
"860Z200US10307","ZCTA5 10307","147184","16727",
"860Z200US10308","ZCTA5 10308","125850","12228",
"860Z200US10309","ZCTA5 10309","116098","22465",
"860Z200US10310","ZCTA5 10310","106250","12538",
"860Z200US10311","ZCTA5 10311","-","**",
"860Z200US10312","ZCTA5 10312","110719","5237",
"860Z200US10314","ZCTA5 10314","104613","8051",
"860Z200US10451","ZCTA5 10451","38770","5085",
"860Z200US10452","ZCTA5 10452","41288","4146",
"860Z200US10453","ZCTA5 10453","33186","2783",
"860Z200US10454","ZCTA5 10454","24086","3969",
"860Z200US10455","ZCTA5 10455","36115","3299",
"860Z200US10456","ZCTA5 10456","34954","3278",
"860Z200US10457","ZCTA5 10457","42683","4482",
"860Z200US10458","ZCTA5 10458","40800","2867",
"860Z200US10459","ZCTA5 10459","38006","4404",
"860Z200US10460","ZCTA5 10460","36309","4906",
"860Z200US10461","ZCTA5 10461","67028","6955",
